,frame,color,hex
702,0,"(4, 4, 4)",#040404
731,1,"(4, 4, 4)",#040404
672,2,"(4, 4, 4)",#040404
647,3,"(4, 4, 4)",#040404
553,4,"(8, 9, 9)",#080909
536,5,"(17, 18, 18)",#111212
593,6,"(25, 26, 28)",#191a1c
609,7,"(35, 35, 38)",#232326
496,8,"(43, 45, 47)",#2b2d2f
474,9,"(52, 54, 57)",#343639
538,10,"(59, 62, 64)",#3b3e40
551,11,"(68, 71, 73)",#444749
608,12,"(94, 97, 99)",#5e6163
594,13,"(99, 104, 105)",#636869
729,14,"(99, 104, 106)",#63686a
704,15,"(99, 104, 105)",#636869
648,16,"(99, 104, 105)",#636869
671,17,"(99, 104, 105)",#636869
310,18,"(99, 104, 105)",#636869
282,19,"(99, 104, 105)",#636869
469,20,"(99, 104, 105)",#636869
500,21,"(99, 104, 105)",#636869
433,22,"(99, 104, 105)",#636869
409,23,"(99, 104, 105)",#636869
306,24,"(99, 104, 105)",#636869
287,25,"(99, 104, 105)",#636869
352,26,"(99, 104, 105)",#636869
367,27,"(99, 104, 105)",#636869
723,28,"(4, 4, 4)",#040404
709,29,"(6, 6, 6)",#060606
304,30,"(10, 10, 10)",#0a0a0a
289,31,"(15, 15, 15)",#0f0f0f
350,32,"(18, 18, 18)",#121212
368,33,"(23, 23, 24)",#171718
470,34,"(27, 27, 29)",#1b1b1d
499,35,"(32, 32, 33)",#202021
435,36,"(36, 36, 38)",#242426
408,37,"(41, 41, 44)",#29292c
530,38,"(46, 46, 49)",#2e2e31
558,39,"(51, 51, 54)",#333336
152,40,"(54, 55, 59)",#36373b
177,41,"(55, 56, 61)",#37383d
244,42,"(52, 54, 59)",#34363b
218,43,"(56, 57, 62)",#38393e
107,44,"(60, 63, 67)",#3c3f43
90,45,"(58, 61, 65)",#3a3d41
23,46,"(112, 114, 119)",#707277
42,47,"(114, 117, 122)",#72757a
887,48,"(56, 61, 64)",#383d40
871,49,"(56, 61, 64)",#383d40
108,50,"(56, 61, 64)",#383d40
89,51,"(56, 61, 64)",#383d40
24,52,"(115, 119, 123)",#73777b
40,53,"(115, 119, 123)",#73777b
150,54,"(115, 119, 123)",#73777b
179,55,"(115, 119, 124)",#73777c
243,56,"(56, 61, 65)",#383d41
220,57,"(56, 61, 65)",#383d41
816,58,"(56, 61, 65)",#383d41
834,59,"(56, 61, 65)",#383d41
890,60,"(56, 61, 65)",#383d41
869,61,"(56, 61, 65)",#383d41
921,62,"(56, 62, 65)",#383e41
945,63,"(56, 62, 65)",#383e41
819,64,"(56, 62, 65)",#383e41
832,65,"(56, 62, 65)",#383e41
780,66,"(56, 62, 65)",#383e41
763,67,"(56, 62, 65)",#383e41
154,68,"(115, 119, 123)",#73777b
174,69,"(115, 119, 123)",#73777b
818,70,"(115, 119, 124)",#73777c
833,71,"(115, 119, 124)",#73777c
778,72,"(56, 62, 65)",#383e41
764,73,"(56, 62, 66)",#383e42
892,74,"(56, 62, 66)",#383e42
867,75,"(56, 62, 66)",#383e42
923,76,"(114, 118, 123)",#72767b
944,77,"(114, 118, 123)",#72767b
109,78,"(114, 118, 123)",#72767b
87,79,"(114, 118, 123)",#72767b
211,80,"(114, 118, 123)",#72767b
252,81,"(114, 118, 123)",#72767b
183,82,"(114, 118, 123)",#72767b
146,83,"(114, 118, 123)",#72767b
50,84,"(42, 47, 38)",#2a2f26
15,85,"(43, 48, 39)",#2b3027
82,86,"(43, 48, 39)",#2b3027
115,87,"(43, 48, 39)",#2b3027
947,88,"(43, 48, 39)",#2b3027
920,89,"(43, 48, 39)",#2b3027
48,90,"(43, 48, 39)",#2b3027
17,91,"(44, 48, 40)",#2c3028
80,92,"(44, 48, 40)",#2c3028
117,93,"(44, 49, 40)",#2c3128
213,94,"(44, 49, 40)",#2c3128
250,95,"(44, 49, 40)",#2c3128
185,96,"(44, 48, 40)",#2c3028
144,97,"(44, 49, 40)",#2c3128
755,98,"(44, 49, 40)",#2c3128
788,99,"(44, 48, 40)",#2c3028
651,100,"(44, 48, 40)",#2c3028
667,101,"(44, 48, 40)",#2c3028
725,102,"(43, 48, 40)",#2b3028
710,103,"(44, 48, 40)",#2c3028
615,104,"(44, 48, 40)",#2c3028
589,105,"(44, 48, 40)",#2c3028
532,106,"(43, 48, 40)",#2b3028
556,107,"(43, 48, 40)",#2b3028
434,108,"(43, 48, 40)",#2b3028
410,109,"(44, 48, 40)",#2c3028
612,110,"(44, 48, 41)",#2c3029
590,111,"(44, 49, 41)",#2c3129
531,112,"(44, 48, 40)",#2c3028
560,113,"(145, 145, 143)",#91918f
654,114,"(145, 145, 143)",#91918f
666,115,"(145, 144, 143)",#91908f
726,116,"(145, 144, 143)",#91908f
706,117,"(145, 144, 142)",#91908e
351,118,"(145, 144, 142)",#91908e
369,119,"(145, 144, 142)",#91908e
431,120,"(145, 144, 142)",#91908e
411,121,"(145, 144, 142)",#91908e
477,122,"(144, 144, 142)",#90908e
493,123,"(144, 144, 142)",#90908e
347,124,"(145, 144, 143)",#91908f
373,125,"(145, 144, 143)",#91908f
307,126,"(145, 144, 143)",#91908f
284,127,"(145, 144, 143)",#91908f
650,128,"(145, 145, 143)",#91918f
670,129,"(145, 145, 143)",#91918f
348,130,"(145, 145, 143)",#91918f
370,131,"(145, 145, 143)",#91918f
312,132,"(145, 145, 143)",#91918f
283,133,"(145, 145, 143)",#91918f
430,134,"(145, 145, 143)",#91918f
414,135,"(10, 17, 26)",#0a111a
472,136,"(10, 18, 27)",#0a121b
494,137,"(10, 18, 26)",#0a121a
611,138,"(10, 18, 27)",#0a121b
595,139,"(10, 18, 27)",#0a121b
239,140,"(10, 18, 27)",#0a121b
223,141,"(10, 18, 27)",#0a121b
155,142,"(10, 18, 27)",#0a121b
176,143,"(10, 18, 27)",#0a121b
22,144,"(13, 23, 33)",#0d1721
44,145,"(146, 181, 208)",#92b5d0
112,146,"(145, 182, 208)",#91b6d0
84,147,"(146, 182, 208)",#92b6d0
922,148,"(146, 182, 209)",#92b6d1
