,frame,color,hex
1696,0,"(97, 99, 72)",#616348
1759,1,"(97, 99, 72)",#616348
1612,2,"(97, 99, 72)",#616348
1552,3,"(97, 99, 72)",#616348
1312,4,"(97, 99, 72)",#616348
1269,5,"(97, 99, 72)",#616348
1413,6,"(96, 98, 72)",#606248
1457,7,"(96, 97, 71)",#606147
1170,8,"(95, 97, 70)",#5f6146
1119,9,"(94, 96, 70)",#5e6046
1271,10,"(102, 103, 76)",#66674c
1310,11,"(102, 103, 75)",#66674b
1456,12,"(101, 102, 74)",#65664a
1414,13,"(100, 102, 73)",#646649
1757,14,"(95, 97, 70)",#5f6146
1698,15,"(92, 95, 68)",#5c5f44
1553,16,"(88, 91, 67)",#585b43
1611,17,"(86, 89, 66)",#565942
733,18,"(88, 91, 67)",#585b43
672,19,"(81, 84, 63)",#51543f
1111,20,"(64, 68, 55)",#404437
1176,21,"(58, 62, 52)",#3a3e34
1023,22,"(56, 60, 51)",#383c33
969,23,"(54, 59, 50)",#363b32
725,24,"(53, 57, 49)",#353931
682,25,"(51, 56, 48)",#333830
833,26,"(47, 52, 46)",#2f342e
871,27,"(48, 53, 46)",#30352e
1747,28,"(46, 51, 45)",#2e332d
1706,29,"(45, 51, 44)",#2d332c
723,30,"(46, 50, 44)",#2e322c
684,31,"(46, 51, 44)",#2e332c
828,32,"(46, 51, 44)",#2e332c
874,33,"(46, 51, 45)",#2e332d
1113,34,"(46, 51, 45)",#2e332d
1174,35,"(46, 51, 45)",#2e332d
1028,36,"(46, 51, 45)",#2e332d
966,37,"(46, 51, 45)",#2e332d
1258,38,"(46, 51, 45)",#2e332d
1321,39,"(46, 51, 45)",#2e332d
359,40,"(46, 51, 45)",#2e332d
428,41,"(46, 51, 45)",#2e332d
584,42,"(46, 51, 45)",#2e332d
516,43,"(46, 51, 45)",#2e332d
258,44,"(46, 51, 45)",#2e332d
209,45,"(46, 51, 45)",#2e332d
51,46,"(46, 52, 45)",#2e342d
103,47,"(47, 52, 46)",#2f342e
2193,48,"(69, 66, 65)",#454241
2146,49,"(70, 67, 67)",#464343
260,50,"(71, 69, 69)",#474545
207,51,"(85, 86, 91)",#55565b
54,52,"(85, 87, 92)",#55575c
98,53,"(75, 75, 77)",#4b4b4d
357,54,"(77, 76, 79)",#4d4c4f
430,55,"(88, 89, 94)",#58595e
581,56,"(79, 77, 79)",#4f4d4f
521,57,"(79, 77, 78)",#4f4d4e
1995,58,"(80, 78, 79)",#504e4f
2048,59,"(91, 92, 95)",#5b5c5f
2200,60,"(90, 91, 95)",#5a5b5f
2141,61,"(89, 90, 94)",#595a5e
2287,62,"(91, 91, 96)",#5b5b60
2349,63,"(91, 92, 96)",#5b5c60
2003,64,"(92, 93, 97)",#5c5d61
2042,65,"(92, 92, 97)",#5c5c61
1898,66,"(92, 93, 98)",#5c5d62
1852,67,"(93, 94, 99)",#5d5e63
364,68,"(93, 95, 100)",#5d5f64
421,69,"(93, 95, 101)",#5d5f65
1999,70,"(95, 96, 102)",#5f6066
2046,71,"(94, 96, 102)",#5e6066
1895,72,"(95, 97, 102)",#5f6166
1853,73,"(105, 101, 120)",#696578
2204,74,"(104, 100, 119)",#686477
2137,75,"(105, 101, 120)",#696578
2290,76,"(105, 101, 120)",#696578
2348,77,"(105, 101, 120)",#696578
262,78,"(105, 100, 119)",#696477
203,79,"(105, 100, 119)",#696477
508,80,"(108, 103, 122)",#6c677a
593,81,"(108, 102, 120)",#6c6678
435,82,"(108, 102, 121)",#6c6679
352,83,"(109, 103, 122)",#6d677a
117,84,"(109, 103, 123)",#6d677b
36,85,"(109, 103, 122)",#6d677a
194,86,"(105, 100, 119)",#696477
273,87,"(104, 99, 118)",#686376
2354,88,"(108, 103, 122)",#6c677a
2283,89,"(108, 103, 122)",#6c677a
114,90,"(108, 103, 122)",#6c677a
39,91,"(108, 103, 122)",#6c677a
190,92,"(109, 103, 122)",#6d677a
277,93,"(110, 104, 123)",#6e687b
510,94,"(111, 104, 123)",#6f687b
591,95,"(112, 105, 123)",#70697b
439,96,"(111, 105, 123)",#6f697b
348,97,"(111, 104, 122)",#6f687a
1836,98,"(110, 104, 123)",#6e687b
1913,99,"(109, 104, 123)",#6d687b
1558,100,"(106, 101, 120)",#6a6578
1603,101,"(106, 101, 120)",#6a6578
1750,102,"(106, 101, 120)",#6a6578
1709,103,"(105, 100, 120)",#696478
1467,104,"(105, 100, 120)",#696478
1406,105,"(105, 100, 120)",#696478
1262,106,"(59, 52, 78)",#3b344e
1317,107,"(59, 51, 77)",#3b334d
1025,108,"(59, 51, 77)",#3b334d
970,109,"(59, 51, 77)",#3b334d
1462,110,"(59, 51, 77)",#3b334d
1407,111,"(59, 51, 76)",#3b334c
1259,112,"(58, 50, 76)",#3a324c
1326,113,"(59, 50, 76)",#3b324c
1563,114,"(58, 50, 76)",#3a324c
1602,115,"(58, 50, 76)",#3a324c
1753,116,"(57, 49, 75)",#39314b
1700,117,"(57, 49, 75)",#39314b
830,118,"(57, 49, 74)",#39314a
875,119,"(56, 48, 74)",#38304a
1020,120,"(56, 48, 74)",#38304a
